"State","AirQualityIndex","Pop"
"Hawaii","21.2000",1412687
"Alaska","29.1000",734002
"Washington","33.5000",7797095
"Oregon","36.1000",4301089
"Maine","36.5000",1345790
"Nebraska",37,1952570
"North Dakota",37,761723
"Iowa","37.6000",3179849
"Minnesota","38.3000",5700671
"Vermont","38.5000",628061
"Florida","38.9000",21992985
"Wisconsin","39.5000",5851754
"Montana","39.6000",1086759
"South Dakota","39.6000",903027
"Louisiana","40.4000",4645184
"New York","40.4000",19440469
"Texas",41,29472295
"Massachusetts","41.4000",6976597
"Nevada","42.1000",3139658
"New Mexico","42.1000",2096640
"Michigan","42.5000",10045029
"Kansas","42.8000",2910357
"Arkansas","43.1000",3038999
"Oklahoma","43.5000",3954821
"Illinois","43.6000",12659682
"Mississippi","43.7000",2989260
"Rhode Island","43.7000",1056161
"Missouri",44,6169270
"New Jersey","44.1000",8936574
"Idaho","44.3000",1826156
"South Carolina","44.8000",5210095
"Connecticut",45,3563077
"Virginia",45,8626207
"Wyoming",45,567025
"Arizona","45.4000",7378494
"Pennsylvania","45.6000",12820878
"California",46,39937489
"Kentucky","46.1000",4499692
"Delaware","46.4000",982895
"North Carolina","46.5000",10611862
"Alabama","46.6000",4908621
"District of Columbia","46.8000",720687
"Maryland",47,6083116
"Colorado","47.1000",5845526
"Indiana","47.5000",6745354
"Tennessee","47.5000",6897576
"West Virginia","47.6000",1778070
"Georgia","48.2000",10736059
"Ohio","48.2000",11747694
"Utah","51.2000",3282115
"New Hampshire","26.1111",1359711		
