State,OutdoorRecreation,Retail,IndoorRecreation,Food
Alabama,2083927,656008,206113,383589
Alaska,1030701,202798,100387,202056
Arizona,4327385,1033321,748683,881278
Arkansas,1390053,380557,155889,196088
California,27383466,5804727,5275931,3432888
Colorado,5963912,1200145,1269076,1098658
Connecticut,1923607,523014,339726,213537
Delaware,611026,222975,62596,169369
District of Columbia,977279,128943,137529,338136
Florida,20690183,3982411,5411340,4720704
Georgia,6274833,1392935,849054,708207
Hawaii,2437813,351466,217816,668783
Idaho,1182979,379802,161860,172278
Illinois,7737696,1547051,1197759,653786
Indiana,4486832,853596,475626,262233
Iowa,1634494,459026,193816,152537
Kansas,1425887,410667,149186,173319
Kentucky,1973149,528650,301065,244352
Louisiana,2588692,613824,322617,285247
Maine,1373098,313821,182207,478538
Maryland,3746066,935491,601959,633175
Massachusetts,4907443,1056129,958112,693052
Michigan,4755614,1363076,827337,600975
Minnesota,4505794,969545,643558,333420
Mississippi,1119665,376121,88970,167905
Missouri,3586118,891515,700363,380455
Montana,1068201,256506,198144,250047
Nebraska,1095738,288977,127509,132343
Nevada,2239107,556264,294709,385311
New Hampshire,1315354,399670,198070,299392
New Jersey,6070879,1523860,1032284,722952
New Mexico,1167986,325587,126951,303237
New York,14178838,3093606,2314439,1618258
North Carolina,5758490,1411882,1034961,979248
North Dakota,542894,174464,54058,64121
Ohio,5348251,1365860,1070871,365465
Oklahoma,1793835,526156,272265,188872
Oregon,3583571,860625,374616,633061
Pennsylvania,6826124,1553903,1415369,643184
Rhode Island,748122,171309,121237,228240
South Carolina,3466434,869506,358725,1073339
South Dakota,615661,176065,59883,138167
Tennessee,3707056,988271,589153,662672
Texas,14285680,3940372,2286128,1161087
Utah,2844732,726438,448569,438367
Vermont,612583,175469,56407,205948
Virginia,4795163,1202353,694592,831889
Washington,5850632,1375660,711594,727135
West Virginia,688507,242725,81427,134336
Wisconsin,3889401,830992,634183,376684
Wyoming,829955,189858,68739,317546
